# Source: SynAct, arXiv:2608.12751v2, Table II (bootstrap WNS) and Table III
# (five-run average WNS, "[11]" = ChatLS, "[8]" = CBTune). WNS in picoseconds,
# commercial synthesis tool (AltiSyn), 14 OpenCores designs. Transcribed
# 2026-09-21; power.py recomputes the paper's own "Ratio Avg." row (ChatLS
# 71.73%, CBTune 66.67%, SynAct 27.03%) from these rows and refuses to run if
# the transcription does not reproduce it.
design,bootstrap_wns,chatls_wns,cbtune_wns,synact_wns
uart16550,-7.45,-6.62,-2.04,-1.18
picorv32,-15.70,-11.92,-2.94,0.06
yacc,-26.86,-12.42,-18.61,-4.38
aes_core,-8.03,-9.83,-3.68,-3.41
wb2axip,-20.54,-9.23,-16.22,-6.78
wb_conmax,-11.35,-12.20,-11.12,0.01
arm9,-20.85,-8.25,-8.44,-3.70
sha3,-14.41,-14.33,-6.32,-3.82
spimaster,-16.96,-13.51,-4.47,-3.04
ethernet,-9.83,-3.56,-6.53,-2.85
ecg,-5.04,-3.35,-4.56,-2.23
linkruncca,-41.40,-6.40,-3.14,-6.19
xge_mac,-5.86,-6.30,-7.04,-4.36
fft256,-17.14,-12.68,-34.27,-7.90
