beat	screen	break	words	screen_at	speak_at	speech_s	ends	pause_after	next_at
0	card	para	20	0.00	0.15	8.02	8.17	0.35	18.80
0	card	sent	17	0.00	8.52	7.16	15.68	0.39	18.80
0	card	sent	10	0.00	16.07	2.58	18.65		18.80
1	bench	para	25	0.10	0.97	9.77	10.74	1.05	19.00
1	bench	sent	20	0.10	11.79	6.28	18.07		19.00
2	loop	para	11	0.11	0.15	4.07	4.22	0.60	9.72
2	loop	sent	3	0.11	4.82	1.15	5.97	0.59	9.72
2	loop	sent	9	0.11	6.56	3.01	9.57		9.72
2	showrun	para	3	9.72	10.97	0.69	11.66	1.50	29.77
2	showrun	sent	25	9.72	13.17	8.07	21.24	1.50	29.77
2	showrun	sent	21	9.72	22.74	5.72	28.46		29.77
3	final	para	16	0.11	0.26	6.07	6.33	0.45	46.60
3	final	sent	7	0.11	6.78	2.40	9.18	0.48	46.60
3	final	sent	13	0.11	9.66	5.12	14.79	0.34	46.60
3	final	para	6	0.11	15.12	2.99	18.11	0.30	46.60
3	final	sent	14	0.11	18.42	4.58	23.00	0.31	46.60
3	final	sent	8	0.11	23.31	2.36	25.67	0.29	46.60
3	final	para	19	0.11	25.96	7.48	33.44	0.35	46.60
3	final	sent	4	0.11	33.79	1.01	34.80	0.26	46.60
3	final	sent	14	0.11	35.06	5.24	40.30	0.23	46.60
3	final	sent	15	0.11	40.53	5.91	46.44		46.60
4	gitlog	para	14	0.10	0.76	4.09	4.85	0.80	33.31
4	gitlog	sent	14	0.10	5.65	5.12	10.77	0.80	33.31
4	gitlog	sent	28	0.10	11.57	9.13	20.70	0.80	33.31
4	gitlog	sent	7	0.10	21.50	2.39	23.89	1.33	33.31
4	gitlog	para	19	0.10	25.22	6.77	31.99		33.31
4	result	para	11	33.31	32.95	4.30	37.25	0.37	42.92
4	result	sent	6	33.31	37.62	2.18	39.80	0.34	42.92
4	result	sent	7	33.31	40.14	2.63	42.77		42.92
4	trace	para	8	42.92	43.16	2.98	46.14	0.29	51.80
4	trace	sent	13	42.92	46.44	5.07	51.51		51.80
5	lever	para	19	0.11	1.04	5.67	6.71	1.12	15.72
5	lever	sent	17	0.11	7.83	4.85	12.68	1.12	15.72
5	lever	sent	3	0.11	13.79	0.85	14.64		15.72
5	post_repair	para	10	15.72	16.09	3.47	19.56	0.45	37.34
5	post_repair	sent	17	15.72	20.01	5.96	25.97	0.44	37.34
5	post_repair	sent	10	15.72	26.40	4.07	30.47	0.44	37.34
5	post_repair	sent	14	15.72	30.91	3.84	34.75	0.61	37.34
5	post_repair	sent	3	15.72	35.36	0.63	35.99		37.34
5	ppa	para	17	37.34	36.66	7.46	44.12	0.37	48.97
5	ppa	sent	11	37.34	44.49	4.43	48.92		48.97
6	verdict	para	10	0.11	1.25	3.12	4.37		6.12
6	classify	para	9	6.12	5.81	4.33	10.14	0.28	24.20
6	classify	sent	28	6.12	10.42	9.56	19.98	0.21	24.20
6	classify	sent	12	6.12	20.20	3.95	24.15		24.20
7	sdc	para	6	0.11	0.44	2.19	2.63	0.40	26.97
7	sdc	sent	20	0.11	3.03	6.08	9.11	0.69	26.97
7	sdc	sent	18	0.11	9.80	7.29	17.09	0.40	26.97
7	sdc	sent	22	0.11	17.48	9.10	26.58		26.97
8	page1	para	10	0.10	0.41	3.33	3.74	0.38	27.00
8	page1	sent	8	0.10	4.12	3.60	7.72	0.38	27.00
8	page1	sent	18	0.10	8.09	6.48	14.57	0.38	27.00
8	page1	sent	10	0.10	14.95	3.26	18.21	0.71	27.00
8	page1	sent	20	0.10	18.92	7.72	26.64		27.00
