design	verdict	period	slack_A	slack_both	slack_buf	slack_size	gain_both	gain_buf	gain_size	cells_buf	cells_size
vending_machine	DEPTH_DOMINATED	0.695	-0.077	-0.077	-0.077	-0.077	0.0	0.0	0.0	13893	13867
ticket_machine	DEPTH_DOMINATED	0.712	-0.080	-0.079	-0.118	-0.080	0.001	-0.038	0.0	18	18
DSP	DEPTH_DOMINATED	16.799	-1.867	0.984	-1.371	0.917	2.851	0.496	2.784	2907	2891
simple_spi	DEPTH_DOMINATED	3.826	-0.425	0.641	-0.076	0.692	1.066	0.349	1.117	326	320
cpu_fsm	FANOUT_DOMINATED	51.849	-5.761	11.754	18.974	1.231	17.515	24.735	6.992	7968	7883
controller	DEPTH_DOMINATED	1.641	-0.182	0.173	0.052	0.187	0.355	0.234	0.369	129	128
router	MIXED	2.947	-0.327	-0.156	-0.368	-0.226	0.171	-0.041	0.101	905	895
cpu_pipe	DEPTH_DOMINATED	7.65	-0.850	-0.269	-1.303	-0.229	0.581	-0.453	0.621	3529	3476
datapath	FANOUT_DOMINATED	6.919	-0.769	3.223	2.675	2.915	3.992	3.444	3.684	5705	5503
i2c	DEPTH_DOMINATED	3.56	-0.396	0.581	-0.531	0.584	0.977	-0.135	0.98	574	560
tv80	DEPTH_DOMINATED	8.817	-0.980	-0.599	-1.131	-0.746	0.381	-0.151	0.234	4152	4023
aes	FANOUT_DOMINATED	4.74	-0.527	1.015	0.831	1.059	1.542	1.358	1.586	3285	3269
communication	FANOUT_DOMINATED	5.233	-0.581	3.042	2.701	1.914	3.623	3.282	2.495	302	286
arm_cpu1	MIXED	28.77	-3.197	12.750	10.048	8.677	15.947	13.245	11.874	19783	18936
arm_cpu2	FANOUT_DOMINATED	8.773	-0.975	0.930	-0.553	0.755	1.905	0.422	1.73	7687	7336
