design	variant	abc	cells	slack	verdict	share	top_fanout	top_incr
aes	gold	A	3269	-0.527	FANOUT_DOMINATED	0.9159	129	3.929
aes	gold	B	3285	0.831	NO_ACTION	0.0	2	1.448
aes	skill8_plain	A	3264	-0.527	FANOUT_DOMINATED	0.9159	129	3.929
aes	skill8_plain	B	3281	0.630	NO_ACTION	0.0	2	1.476
aes	skill8_keep	A	3265	-0.515	FANOUT_DOMINATED	0.9157	128	3.912
aes	skill8_keep	B	3282	0.630	NO_ACTION	0.0	2	1.476
communication	gold	A	286	-0.581	FANOUT_DOMINATED	0.6842	70	3.753
communication	gold	B	302	2.701	NO_ACTION	0.0	5	0.726
communication	skill8_plain	A	287	-0.581	FANOUT_DOMINATED	0.6842	70	3.753
communication	skill8_plain	B	303	2.701	NO_ACTION	0.0	5	0.726
communication	skill8_keep	A	288	-0.800	FANOUT_DOMINATED	0.7647	35	2.473
communication	skill8_keep	B	305	2.011	NO_ACTION	0.0	1	0.65
datapath	gold	A	5503	-0.769	FANOUT_DOMINATED	0.634	35	2.577
datapath	gold	B	5705	2.675	NO_ACTION	0.0	1	0.622
datapath	skill8_plain	A	5503	-0.712	FANOUT_DOMINATED	0.6455	37	2.608
datapath	skill8_plain	B	5703	2.675	NO_ACTION	0.0	1	0.622
datapath	skill8_keep	A	5515	0.229	NO_ACTION	0.8638	188	5.618
datapath	skill8_keep	B	5715	2.675	NO_ACTION	0.0	1	0.622
