design	top	required_ns	period_ns	slack_A	slack_B	delta_B	verdict	fanout_share	path_delay	cells_on_path	top_cell	top_incr	top_fanout	top_module
vending_machine	vending_machine	108.538	97.684	-10.854	4.033	14.887	DEPTH_DOMINATED	0.0	108.532	430	sky130_fd_sc_hd__a2111oi_0	0.605	3	vending_machine
ticket_machine	ticket_machine	0.791	0.712	-0.080	-0.079	0.001	DEPTH_DOMINATED	0.0	0.67	5	sky130_fd_sc_hd__dfxtp_1	0.294	4	ticket_machine
LSTM	lstm_cell	31.295	28.166	-3.129	-1.083	2.046	DEPTH_DOMINATED	0.0	31.3	86	sky130_fd_sc_hd__xnor2_1	3.952	0	ConcatMultAdd
DSP	DSP	18.666	16.799	-1.867	0.984	2.851	DEPTH_DOMINATED	0.0503	18.554	53	sky130_fd_sc_hd__dfxtp_1	1.11	1	$paramod$c225f133c799dffa7694d3e3731c4b5b42f427d1\RegMux
simple_spi	simple_spi_top	4.251	3.826	-0.425	0.641	1.066	DEPTH_DOMINATED	0.0	4.156	9	sky130_fd_sc_hd__o41ai_1	1.74	20	simple_spi_top
cpu_fsm	mini_cpu	57.61	51.849	-5.761	11.754	17.515	FANOUT_DOMINATED	0.9591	57.494	13	sky130_fd_sc_hd__dfxtp_1	32.954	1131	mini_cpu
FIFO	fifo	STA_READ_FAIL
SPI	spi	STA_READ_FAIL
UART	uart_top_design	STA_READ_FAIL
controller	control_unit	1.827	1.644	-0.183	0.176	0.359	DEPTH_DOMINATED	0.0	1.827	7	sky130_fd_sc_hd__or3_1	0.457	3	control_unit
router	router_top	3.274	2.947	-0.327	-0.156	0.171	MIXED	0.4603	2.911	8	sky130_fd_sc_hd__dfxtp_1	1.34	36	router_fifo
cpu_pipe	dcpu16_cpu	8.5	7.65	-0.850	-0.269	0.581	DEPTH_DOMINATED	0.0	8.409	36	sky130_fd_sc_hd__dfxtp_1	1.514	3	dcpu16_mbus
pcie	top	STA_READ_FAIL
datapath	datapath	7.688	6.919	-0.769	2.868	3.637	FANOUT_DOMINATED	0.634	7.438	16	sky130_fd_sc_hd__a211oi_1	2.577	35	datapath
i2c	i2c_master_top	3.956	3.56	-0.396	0.581	0.977	NO_ACTION	0.0	3.89	11	sky130_fd_sc_hd__o41ai_1	0.741	7	i2c_master_bit_ctrl
tv80	tv80s	9.797	8.817	-0.980	-0.599	0.381	DEPTH_DOMINATED	0.0	9.665	27	sky130_fd_sc_hd__o21ai_0	2.225	0	$paramod$72d3ea3f60e4f9118b34d0adb77cce095874acc8\tv80_mcode
aes	key_expansion_128aes	5.267	4.74	-0.527	1.015	1.542	FANOUT_DOMINATED	0.9159	5.125	5	sky130_fd_sc_hd__and2_0	3.929	129	key_expansion_128aes
communication	sync_serial_communication_tx_rx	5.814	5.233	-0.581	3.042	3.623	FANOUT_DOMINATED	0.6842	5.485	7	sky130_fd_sc_hd__nor3_1	3.753	70	tx_block
arm_cpu1	arm9_compatiable_code	31.967	28.77	-3.197	12.750	15.947	MIXED	0.4386	31.839	72	sky130_fd_sc_hd__nor2_1	12.132	272	arm9_compatiable_code
arm_cpu2	risclite_mx	9.855	8.87	-0.985	1.027	2.012	FANOUT_DOMINATED	0.6024	9.697	18	sky130_fd_sc_hd__o21ai_0	5.841	93	risclite_mx
