design	old_verdict	old_share	new_verdict	new_share	top_cell	top_incr	old_top_fanout	new_top_fanout	netlist_top_fanout	disagreements
vending_machine	DEPTH_DOMINATED	0.0	DEPTH_DOMINATED	0.0	sky130_fd_sc_hd__dfrtp_1	0.346	2	2	2	0
ticket_machine	DEPTH_DOMINATED	0.0	DEPTH_DOMINATED	0.0	sky130_fd_sc_hd__dfxtp_1	0.294	4	4	4	0
DSP	DEPTH_DOMINATED	0.0503	DEPTH_DOMINATED	0.1101	sky130_fd_sc_hd__dfxtp_1	1.11	1	53	1	2
simple_spi	DEPTH_DOMINATED	0.0	DEPTH_DOMINATED	0.0	sky130_fd_sc_hd__o41ai_1	1.74	20	20	20	0
cpu_fsm	FANOUT_DOMINATED	0.9591	FANOUT_DOMINATED	0.9591	sky130_fd_sc_hd__dfxtp_1	32.954	1131	1132	1131	1
controller	DEPTH_DOMINATED	0.0	DEPTH_DOMINATED	0.0	sky130_fd_sc_hd__dfrtp_1	0.389	6	6	6	1
router	MIXED	0.4603	MIXED	0.4603	sky130_fd_sc_hd__dfxtp_1	1.34	36	36	36	0
cpu_pipe	DEPTH_DOMINATED	0.0	DEPTH_DOMINATED	0.18	sky130_fd_sc_hd__dfxtp_1	1.514	3	78	3	1
datapath	FANOUT_DOMINATED	0.634	FANOUT_DOMINATED	0.634	sky130_fd_sc_hd__a211oi_1	2.577	35	35	35	1
i2c	DEPTH_DOMINATED	0.0	DEPTH_DOMINATED	0.0	sky130_fd_sc_hd__o41ai_1	0.741	7	7	7	0
tv80	DEPTH_DOMINATED	0.0	MIXED	0.3684	sky130_fd_sc_hd__o21ai_0	2.225	0	34	0	1
aes	FANOUT_DOMINATED	0.9159	FANOUT_DOMINATED	0.9159	sky130_fd_sc_hd__and2_0	3.929	129	129	129	1
communication	FANOUT_DOMINATED	0.6842	FANOUT_DOMINATED	0.6842	sky130_fd_sc_hd__nor3_1	3.753	70	70	70	0
arm_cpu1	MIXED	0.4386	MIXED	0.4386	sky130_fd_sc_hd__nor2_1	12.132	272	272	272	0
arm_cpu2	FANOUT_DOMINATED	0.6091	FANOUT_DOMINATED	0.6091	sky130_fd_sc_hd__o21ai_0	5.841	93	93	93	0
