variant	A_unbuffered	B_abc_lever	C_before_repair	C_after_repair	area_before	area_after	cells_A	cells_B
gold	-0.894	-0.296	-6.072	-2.021	29173	35159	3447	3533	
ctrl_rename	-0.894	-0.296	-6.072	-2.021	29173	35159	3447	3533	
ctrl_reorder	-0.894	-0.296	-6.072	-2.021	29173	35159	3447	3533	
ctrl_flip	-1.046	-0.269	-6.276	-1.646	29100	35259	3429	3520	
run2_O1_casez_parallel_case_hint	-0.894	-0.296	-6.072	-2.021	29173	35159	3447	3533	
run3_O1_flatten_mcycle_tail_override_priority	-1.162	-0.473	-6.935	-1.639	29018	34986	3420	3508	
surv_run2_O1_parallel_case_decode_hint	-0.894	-0.296	-6.072	-2.021	29173	35159	3447	3533	
surv_run4_O1_coalesce_split_bus_field_assigns	-1.023	-0.324	-5.940	-1.723	29007	34861	3421	3510	
surv_run5_O1_hoist_ld_hl_n_and_collapse_addr_to_double_write	-1.581	-0.588	-7.309	-2.098	29062	35105	3437	3529	
surv_run6_O1_isolate_incdec16_into_dedicated_process	-0.504	0.190	-5.387	-1.175	28904	34842	3406	3494	
gold_run2			-6.072	-2.021	29173	35159		
